,opt_date,strike,lastPrice,dist OTM,% OTM,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,value
15,2020-05-01,63.0,0.37,13.495002746582031,17.641678883637947,0.26,0.32,0.02000001,5.7142887,1.0,64.0,0.7304714453125,0.0,2368.0
16,2020-05-01,56.0,0.38,20.49500274658203,26.79260345212262,0.0,0.2,0.0,0.0,18.0,51.0,0.8808605664062499,0.0,1938.0
17,2020-05-08,55.0,0.39,21.49500274658203,28.099878390477574,0.05,0.33,0.07999998,25.806446,1.0,27.0,0.8212908496093749,0.0,1053.0
18,2020-05-01,64.0,0.39,12.495002746582031,16.334403945282997,0.27,0.37,-0.18,-31.578947,26.0,187.0,0.700198310546875,0.0,7293.000000000001
19,2020-05-01,65.0,0.39,11.495002746582031,15.027129006928043,0.37,0.43,-0.100000024,-20.408167,1978.0,304.0,0.6914093359375001,0.0,11856.0
20,2020-05-15,55.0,0.41,21.49500274658203,28.099878390477574,0.4,0.46,-0.099999994,-19.607841,19.0,2344.0,0.831056376953125,0.0,96104.0
21,2020-05-08,57.0,0.42,19.49500274658203,25.48532851376767,0.06,0.8,-0.13000003,-23.636368,1.0,4.0,0.885743330078125,0.0,168.0
22,2020-05-01,66.0,0.46,10.495002746582031,13.71985406857309,0.29,0.51,-0.30999997,-40.25974,10.0,87.0,0.641605146484375,0.0,4002.0000000000005
23,2020-05-01,65.5,0.5,10.995002746582031,14.373491537750565,0.08,0.9,-0.35000002,-41.176476,13.0,29.0,0.7050810742187501,0.0,1450.0
24,2020-05-01,58.0,0.51,18.49500274658203,24.178053575412715,0.03,0.22,0.0,0.0,58.0,110.0,0.8261736132812498,0.0,5610.0
25,2020-05-29,50.0,0.55,26.49500274658203,34.63625308225234,0.03,0.77,0.0,0.0,,780.0,0.8125018749999999,0.0,42900.00000000001
26,2020-05-01,53.0,0.55,23.49500274658203,30.714428267187483,0.02,0.11,0.0,0.0,1.0,42.0,0.9492192578124999,0.0,2310.0
27,2020-05-01,67.0,0.56,9.495002746582031,12.412579130218136,0.53,0.65,-0.19999999,-26.315786,3.0,47.0,0.6650424121093752,0.0,2632.0000000000005
28,2020-05-01,64.5,0.56,11.995002746582031,15.68076647610552,0.22,0.83,-0.42000002,-42.857143,3.0,19.0,0.770510107421875,0.0,1064.0
29,2020-05-15,57.5,0.56,18.99500274658203,24.831691044590194,0.52,0.59,-0.06999999,-11.11111,16.0,811.0,0.78711150390625,0.0,45416.0
30,2020-05-08,60.0,0.59,16.49500274658203,21.563503698702807,0.37,0.56,-0.050000012,-7.8125014,1.0,16.0,0.7763694238281251,0.0,944.0
31,2020-05-08,64.0,0.65,12.495002746582031,16.334403945282997,0.65,0.92,-1.25,-65.789474,1.0,17.0,0.7138700488281251,0.0,1105.0
32,2020-05-01,68.0,0.68,8.495002746582031,11.105304191863183,0.51,0.86,-0.32,-32.0,34.0,155.0,0.6435582519531251,0.0,10540.0
33,2020-05-15,60.0,0.69,16.49500274658203,21.563503698702807,0.66,0.72,-0.060000002,-8.0,175.0,2864.0,0.7368190380859375,0.0,197616.0
34,2020-05-08,58.5,0.69,17.99500274658203,23.52441610623524,0.26,0.76,0.0,0.0,,17.0,0.858399853515625,0.0,1172.9999999999998
35,2020-05-01,66.5,0.72,9.995002746582031,13.066216599395613,0.44,0.67,0.0,0.0,1.0,18.0,0.6787141503906251,0.0,1296.0
36,2020-05-08,62.0,0.75,14.495002746582031,18.9489538219929,0.51,0.75,-0.04000002,-5.0632935,1.0,6.0,0.752932158203125,0.0,450.0
37,2020-06-19,50.0,0.76,26.49500274658203,34.63625308225234,0.67,0.76,0.00999999,1.3333321,2.0,2958.0,0.75195560546875,0.0,224808.0
38,2020-05-08,62.5,0.78,13.995002746582031,18.295316352815423,0.54,0.77,0.0,0.0,1.0,39.0,0.7402369726562499,0.0,3042.0
39,2020-05-08,63.5,0.79,12.995002746582031,16.988041414460472,0.63,0.79,0.0,0.0,4.0,5.0,0.7138700488281251,0.0,395.0
40,2020-06-19,52.5,0.83,23.99500274658203,31.368065736364958,0.82,0.91,-0.17000002,-17.000002,4.0,541.0,0.71679970703125,0.0,44903.0
41,2020-05-01,67.5,0.86,8.995002746582031,11.75894166104066,0.32,0.7,0.060000002,7.5,3.0,408.0,0.6103554589843752,0.0,35088.0
42,2020-05-15,62.5,0.9,13.995002746582031,18.295316352815423,0.88,0.95,-0.030000031,-3.2258098,91.0,1393.0,0.700198310546875,0.0,125370.0
43,2020-05-01,69.0,0.9,7.495002746582031,9.79802925350823,0.82,0.9,-0.100000024,-10.000002,5.0,105.0,0.6401403173828125,0.0,9450.0
44,2020-05-08,57.5,0.92,18.99500274658203,24.831691044590194,0.0,0.73,0.0,0.0,,1.0,0.8330094824218748,0.0,92.0
45,2020-05-08,59.0,0.96,17.49500274658203,22.87077863705776,0.1,0.5,0.0,0.0,1.0,2.0,0.7382838671874999,0.0,192.0
46,2020-05-08,61.0,0.98,15.495002746582031,20.256228760347856,0.41,0.63,0.0,0.0,,2.0,0.7563500927734376,0.0,196.0
47,2020-05-01,70.0,1.0,6.495002746582031,8.490754315153277,0.98,1.06,-0.13999999,-12.280701,168.0,1085.0,0.6245154736328126,0.0,108500.0
48,2020-05-08,65.5,1.0,10.995002746582031,14.373491537750565,0.71,1.05,0.0,0.0,1.0,30.0,0.6723665576171877,0.0,3000.0
49,2020-05-08,65.0,1.05,11.495002746582031,15.027129006928043,0.7,1.36,0.049999952,4.999995,10.0,43.0,0.7338893798828124,0.0,4515.0
50,2020-06-19,55.0,1.1,21.49500274658203,28.099878390477574,1.0,1.1,-0.01999998,-1.7857126,41.0,2882.0,0.6838410522460938,0.0,317020.0
51,2020-05-01,69.5,1.1,6.995002746582031,9.144391784330754,0.82,1.01,-0.19999993,-15.38461,100.0,218.0,0.6264685791015626,0.0,23980.0
52,2020-05-01,68.5,1.1,7.995002746582031,10.451666722685706,0.72,1.0,0.120000005,12.244898,10.0,14.0,0.6689486230468751,0.0,1540.0000000000002
53,2020-05-01,70.5,1.19,5.995002746582031,7.8371168459758,1.08,1.19,-0.45999992,-27.878784,106.0,87.0,0.62305064453125,0.0,10353.0
54,2020-05-15,65.0,1.2,11.495002746582031,15.027129006928043,1.17,1.23,-0.049999952,-3.9999962,120.0,2927.0,0.6630893066406252,0.0,351240.0
55,2020-07-17,50.0,1.2,26.49500274658203,34.63625308225234,1.07,1.23,0.08000004,7.1428604,2.0,3231.0,0.7060576269531251,0.0,387720.0
56,2020-06-19,57.5,1.27,18.99500274658203,24.831691044590194,1.24,1.36,-0.060000062,-4.511283,8.0,1622.0,0.6562534375000001,0.0,205994.0
57,2020-05-08,68.0,1.3,8.495002746582031,11.105304191863183,1.19,1.6,-0.20000005,-13.333336,,5.0,0.6713900048828126,0.0,650.0
58,2020-05-01,71.5,1.32,4.995002746582031,6.529841907620846,1.35,1.48,-0.68999994,-34.328354,5.0,93.0,0.6250037500000001,0.0,12276.0
59,2020-05-01,71.0,1.34,5.495002746582031,7.183479376798324,1.08,1.3,-0.26,-16.25,10.0,136.0,0.6054726953125001,0.0,18224.0
60,2020-05-08,67.0,1.34,9.495002746582031,12.412579130218136,1.0,1.33,-0.13999999,-9.459458,3.0,38.0,0.6709017285156251,0.0,5092.0
61,2020-05-08,58.0,1.42,18.49500274658203,24.178053575412715,0.29,0.85,0.0,0.0,,11.0,0.905274384765625,0.0,1562.0
62,2020-07-17,52.5,1.42,23.99500274658203,31.368065736364958,1.29,1.44,0.0,0.0,1.0,312.0,0.6765169067382814,0.0,44304.0
63,2020-05-01,72.0,1.51,4.495002746582031,5.87620443844337,1.43,1.52,-0.26999998,-15.168538,189.0,215.0,0.6049844189453126,0.0,32464.999999999996
64,2020-05-22,61.0,1.54,15.495002746582031,20.256228760347856,0.0,4.45,0.0,0.0,,1.0,0.9265144067382812,0.0,154.0
65,2020-05-22,60.0,1.55,16.49500274658203,21.563503698702807,0.22,1.25,-0.68000007,-30.493277,5.0,8.0,0.6650424121093752,0.0,1240.0
